file number,transaction number,command,command value,NG
1,1,level,25,OK(No Hub Data)
1,2,level,127,OK(No Hub Data)
1,3,color,333,OK(No Hub Data)
1,4,color,200,OK
1,5,On/Off,0,OK
1,6,On/Off,1,OK
1,7,level,25,OK
1,8,color,370,OK
1,9,level,127,OK
1,10,color,286,OK
1,11,level,25,OK
1,12,level,254,OK
1,13,On/Off,0,OK
1,14,level,25,OK
1,15,color,250,OK
1,16,level,254,OK
1,17,color,333,OK
1,18,level,25,OK
1,19,level,25,OK
1,20,color,250,OK
1,21,On/Off,0,OK
1,23,color,286,OK
1,24,color,200,OK
1,25,level,127,OK
1,26,level,25,OK
1,27,color,286,OK
1,28,color,370,OK
